pincode,area_sqkm,centroid_lat,centroid_lon,min_lat,min_lon,max_lat,max_lon,n_parts
415115,45.4112,17.355272,74.177818,17.316037,74.134824,17.383805,74.223820,1
415116,48.2316,17.498214,74.241286,17.459902,74.200696,17.530930,74.281212,1
415118,12.8582,17.153074,74.109585,17.129893,74.076329,17.169193,74.138422,1
415120,15.193,17.369969,74.063063,17.352254,74.043480,17.392988,74.085311,1
415122,24.0056,17.240871,74.121448,17.213696,74.093316,17.274894,74.148543,1
415124,140.3606,17.269792,74.195962,17.203243,74.125934,17.339069,74.289650,1
415202,50.6536,17.932243,73.340974,17.881475,73.304605,17.974950,73.378235,1
680685,5.5663,10.290491,76.162696,10.275219,76.149872,10.304795,76.177875,1
276127,55.4699,26.233255,83.299258,26.201408,83.241392,26.261213,83.354053,1
415303,113.0577,17.191307,74.344390,17.131430,74.271812,17.248814,74.413391,1
680686,8.5062,10.308904,76.145509,10.294939,76.123988,10.325605,76.167549,1
584102,193.8108,16.264568,77.483995,16.175185,77.363957,16.357850,77.597099,1
535124,95.3165,18.483375,83.459637,18.430656,83.406939,18.555481,83.507541,1
670701,70.2263,11.868746,75.612396,11.820816,75.568913,11.921147,75.661986,1
625520,53.0756,9.894470,77.458128,9.853382,77.416098,9.931957,77.502244,1
276128,124.1517,25.959040,83.185710,25.880130,83.136663,26.036447,83.238052,1
415306,201.9668,17.307434,74.882889,17.227043,74.808859,17.379613,74.971123,1
272151,125.9801,27.033774,82.820181,26.982820,82.732849,27.085222,82.901353,1
835214,733.6559,23.553270,85.056121,23.388257,84.866026,23.709797,85.242600,1
781339,31.7015,26.331645,91.455264,26.304239,91.419060,26.361270,91.486474,1
625522,61.5603,9.826399,77.285504,9.783704,77.223923,9.862118,77.335078,1
781340,29.9326,26.481764,91.380402,26.448469,91.346922,26.503049,91.414326,1
781341,48.4905,26.464089,91.414557,26.422972,91.365617,26.515066,91.449478,1
793110,669.0999,25.297675,91.890772,25.164639,91.749738,25.495560,92.029042,1
571253,156.2618,12.322673,75.885718,12.250487,75.794714,12.385928,75.992369,1
781343,47.1287,26.656887,91.397160,26.611037,91.374248,26.709433,91.427080,1
491223,329.2262,20.956786,81.387933,20.879862,81.270213,21.057871,81.548523,1
491224,21.0509,20.975579,81.416393,20.942551,81.395296,21.011489,81.435632,1
393130,418.4139,21.613234,73.387124,21.506685,73.254211,21.718781,73.504463,1
382305,238.6164,23.142828,72.826498,23.037207,72.742027,23.259526,72.900719,1
673123,73.6802,11.547717,76.091648,11.486597,76.025132,11.592799,76.145058,1
673303,9.5648,11.335187,75.748061,11.315066,75.733228,11.357577,75.765303,1
501158,87.5227,17.326141,77.495077,17.280873,77.437767,17.375172,77.558145,1
628004,16.3719,8.761370,78.182297,8.738757,78.151112,8.790085,78.229019,1
