pincode,primary_district,primary_state,n_districts,n_states,n_offices
363330,Morbi,Gujarat,2,1,22
363410,Surendranagar,Gujarat,2,1,23
363421,Surendranagar,Gujarat,2,1,22
363423,Surendranagar,Gujarat,2,1,11
363440,Surendranagar,Gujarat,2,1,14
363520,Surendranagar,Gujarat,2,1,25
363650,Morbi,Gujarat,2,1,17
363655,Morbi,Gujarat,2,1,19
364120,Bhavnagar,Gujarat,2,1,10
364320,Bhavnagar,Gujarat,2,1,15
364525,Amreli,Gujarat,2,1,13
364530,Amreli,Gujarat,2,1,10
364740,Botad,Gujarat,2,1,9
364760,Botad,Gujarat,2,1,9
365440,Amreli,Gujarat,2,1,17
365480,Amreli,Gujarat,2,1,15
382120,Ahmadabad,Gujarat,2,1,21
382130,Ahmadabad,Gujarat,2,1,19
382170,Ahmadabad,Gujarat,2,1,13
382220,Ahmadabad,Gujarat,2,1,22
382245,Botad,Gujarat,2,1,14
382250,Ahmadabad,Gujarat,2,1,9
382308,Gandhinagar,Gujarat,2,1,13
382421,Gandhinagar,Gujarat,2,1,4
382424,Ahmadabad,Gujarat,2,1,3
382450,Ahmadabad,Gujarat,2,1,11
382722,Gandhinagar,Gujarat,2,1,5
383246,Arvalli,Gujarat,2,1,20
383276,Sabar Kantha,Gujarat,2,1,8
383307,Arvalli,Gujarat,2,1,8
383450,Arvalli,Gujarat,2,1,13
384260,Mahesana,Gujarat,2,1,3
387115,Kheda,Gujarat,2,1,6
387210,Anand,Gujarat,2,1,3
387305,Kheda,Gujarat,2,1,3
387375,Anand,Gujarat,2,1,3
387380,Anand,Gujarat,2,1,6
387530,Kheda,Gujarat,2,1,11
387710,Kheda,Gujarat,2,1,6
388180,Anand,Gujarat,2,1,20
388215,Kheda,Gujarat,2,1,3
388220,Anand,Gujarat,2,1,11
388235,Kheda,Gujarat,2,1,9
388255,Mahisagar,Gujarat,2,1,15
388440,Anand,Gujarat,2,1,4
389110,Mahisagar,Gujarat,2,1,16
389172,Dohad,Gujarat,2,1,15
389190,Dohad,Gujarat,2,1,15
389210,Panch Mahals,Gujarat,2,1,24
389220,Mahisagar,Gujarat,2,1,9
389380,Dohad,Gujarat,2,1,35
391110,Vadodara,Gujarat,2,1,20
391150,Chhotaudepur,Gujarat,2,1,27
391761,Vadodara,Gujarat,2,1,18
392220,Bharuch,Gujarat,2,1,13
393105,Vadodara,Gujarat,2,1,8
393120,Bharuch,Gujarat,2,1,15
393130,Bharuch,Gujarat,2,1,26
393140,Narmada,Gujarat,2,1,14
394246,Surat,Gujarat,2,1,9
394250,Surat,Gujarat,2,1,9
394340,Surat,Gujarat,2,1,14
394620,Surat,Gujarat,2,1,8
394651,Tapi,Gujarat,2,1,15
394716,Dang,Gujarat,2,1,12
396051,Valsad,Gujarat,2,1,22
396193,Valsad,Gujarat,2,2,6
396215,Daman,Dadra & Nagar Haveli And Daman & Diu,2,2,4
396230,Dadra & Nagar Haveli,Dadra & Nagar Haveli And Daman & Diu,2,2,25
396235,Valsad,Gujarat,2,2,7
396240,Dadra & Nagar Haveli,Dadra & Nagar Haveli And Daman & Diu,2,2,9
400010,Mumbai,Maharashtra,2,1,5
401204,Palghar,Maharashtra,2,1,6
403107,South Goa,Goa,2,1,5
410501,Pune,Maharashtra,2,1,17
412206,Pune,Maharashtra,2,1,39
413211,Solapur,Maharashtra,2,1,9
413510,Osmanabad,Maharashtra,2,1,5
425408,Dhule,Maharashtra,2,1,24
431112,Aurangabad,Maharashtra,2,1,15
431121,Aurangabad,Maharashtra,2,1,14
431132,Jalna,Maharashtra,2,1,7
431134,Aurangabad,Maharashtra,2,1,8
431135,Aurangabad,Maharashtra,2,1,12
431137,Aurangabad,Maharashtra,2,1,6
431154,Aurangabad,Maharashtra,2,1,17
431215,Jalna,Maharashtra,2,1,14
431503,Parbhani,Maharashtra,2,1,17
431509,Parbhani,Maharashtra,2,1,24
431543,Hingoli,Maharashtra,2,1,9
431712,Nanded,Maharashtra,2,1,18
431807,Nanded,Maharashtra,2,1,17
441203,Nagpur,Maharashtra,2,1,19
450551,East Nimar,Madhya Pradesh,2,1,17
451449,Barwani,Madhya Pradesh,2,1,15
451660,Barwani,Madhya Pradesh,2,1,20
457993,Jhabua,Madhya Pradesh,2,1,11
458339,Mandsaur,Madhya Pradesh,2,1,6
458553,Mandsaur,Madhya Pradesh,2,1,6
460663,Betul,Madhya Pradesh,2,1,17
461001,Hoshangabad,Madhya Pradesh,2,1,18
461228,Harda,Madhya Pradesh,2,1,42
464240,Vidisha,Madhya Pradesh,2,1,6
472010,Tikamgarh,Madhya Pradesh,2,1,11
472447,Niwari,Madhya Pradesh,2,1,9
473101,Guna,Madhya Pradesh,2,1,24
473885,Ashoknagar,Madhya Pradesh,2,1,17
476332,Sheopur,Madhya Pradesh,2,1,24
476335,Sheopur,Madhya Pradesh,2,1,17
483225,Jabalpur,Madhya Pradesh,2,1,20
483334,Jabalpur,Madhya Pradesh,2,1,14
