pincode,centroid_lat,centroid_lon,area_sqkm
143601,31.773877,74.97904,213.9873
143602,31.873874,74.992487,182.9404
143603,31.983082,74.890091,132.9917
143604,32.002951,75.006444,215.9549
143605,31.939979,75.065036,82.6751
143606,31.835157,74.910013,105.2756
144001,31.329266,75.587363,25.767
144002,31.307558,75.501136,77.5574
144003,31.297114,75.559609,14.7452
144004,31.391685,75.558799,23.5756
144005,31.288305,75.620443,30.5374
144006,31.313993,75.61579,2.3331
144007,31.330751,75.635177,11.8173
144008,31.352634,75.562357,13.9952
144009,31.334327,75.611505,5.4744
144010,31.298963,75.654663,3.5594
144011,31.296298,75.573656,1.6472
144012,31.388763,75.596443,23.2994
144013,31.362073,75.518647,34.2004
144014,31.289191,75.545619,2.889
144015,31.311247,75.558687,0.5346
144020,31.235049,75.608066,54.8782
144021,31.337081,75.53885,4.3063
144022,31.281566,75.584646,10.6399
144023,31.312739,75.641449,2.8439
144024,31.264802,75.651749,28.6223
144025,31.375086,75.642222,71.6947
144026,31.250162,75.538811,59.5455
144027,31.370796,75.548848,3.8271
144028,31.240549,75.489899,22.2128
144029,31.096747,75.927521,36.3754
144030,31.400995,75.791666,19.5685
144031,31.107482,75.696518,59.7372
144032,31.199114,75.647075,37.6339
144033,31.187441,75.573036,60.6696
144034,31.141405,75.633769,46.6015
144035,31.04259,75.72088,44.6345
144036,31.012001,75.669659,44.6099
144037,31.060089,75.665773,41.239
144039,31.056455,75.588753,231.9893
144040,31.119458,75.456612,138.5684
144041,31.019396,75.463669,201.4564
144042,31.165441,75.522591,29.0987
144043,31.149921,75.555439,17.5639
144044,31.080744,75.503214,23.9626
144101,31.323398,75.68037,37.2617
144102,31.419325,75.713739,175.5574
144103,31.426692,75.735389,34.8061
144104,31.416388,75.778893,20.7327
144105,31.51964,75.76748,95.6094
144106,31.45135,75.773599,21.9483
144201,31.551224,75.655272,146.4031
144202,31.696072,75.5557,152.8432
144204,31.721418,75.640041,25.6013
144205,31.832917,75.694366,439.3009
144206,31.766624,75.898174,84.4657
144207,31.743777,75.754726,155.9922
144208,31.640364,75.841357,102.7962
144209,31.708647,75.914671,129.334
144210,31.68749,75.784008,92.8699
144211,31.950204,75.606773,204.6596
144212,31.684526,75.667266,91.7576
144213,31.793723,75.84708,77.6972
144214,31.879546,75.597058,32.2483
144216,31.927023,75.880487,53.7722
144221,31.970555,75.726173,217.8525
144222,31.94362,75.819439,84.0212
144223,31.859037,75.858197,78.529
144224,31.863089,75.92667,80.0943
144301,31.444068,75.609713,47.5463
144302,31.455963,75.645229,28.6519
144303,31.514569,75.599113,73.6895
144305,31.748747,75.649854,24.3767
144306,32.036115,75.623316,128.4208
144311,31.151834,75.699008,15.8211
144401,31.239483,75.796152,110.7356
144402,31.210479,75.729957,67.6037
144403,31.304524,75.745241,73.1133
144404,31.304629,75.897349,45.149
144405,31.311328,75.853505,64.564
144406,31.350372,75.912645,26.4338
144407,31.333644,75.800539,47.4321
144408,31.341603,75.883929,6.7236
144409,31.113568,75.768693,80.3286
144410,31.033692,75.811566,125.155
144411,31.259784,75.697323,61.5689
144415,31.036416,75.937158,16.6131
144416,31.095232,75.887114,32.363
144417,31.042577,75.987772,58.1106
144418,31.103143,75.834074,73.3672
144419,31.046902,75.894149,36.3233
144421,31.10103,76.054462,76.4764
144422,31.067432,75.956055,24.7266
144501,31.197374,75.857261,43.4413
144502,31.158048,75.864119,65.6829
144503,31.24607,75.899842,73.6987
144504,31.190401,75.917165,32.8683
144505,31.200906,75.976242,78.5593
144506,31.209098,76.075298,14.3181
144507,31.126144,75.954842,38.2233
144508,31.148796,76.069362,11.5964
144509,31.158117,75.952963,16.3639
144510,31.227622,76.014651,47.2267
144511,31.134769,75.992914,19.9393
144512,31.173808,76.061705,46.111
144513,31.136716,76.041274,23.7859
144514,31.141487,76.116801,35.682
144515,31.053701,76.219438,89.1449
144516,31.108735,76.175228,57.8735
144517,31.03658,76.126628,164.177
144518,31.043186,76.042323,65.5629
144519,31.281765,75.960717,34.2345
144520,31.282162,76.00575,37.6746
144521,31.09279,76.333177,218.785
144522,31.02846,76.391439,176.0875
144523,31.263802,76.274279,122.4491
144524,31.208309,76.266518,38.8203
144525,31.17289,76.293651,118.4382
144526,31.122513,76.252241,53.9062
144527,31.214171,76.163826,132.7241
144528,31.268692,76.155154,92.164
144529,31.297435,76.098899,43.2258
144530,31.368655,76.118015,130.5295
144531,31.252175,76.058401,39.1436
144532,31.164113,76.172391,47.5371
144533,30.993643,76.466152,51.9241
144601,31.384379,75.347739,412.0426
144602,31.306986,75.356894,13.1164
144603,31.372819,75.466682,25.3293
144606,31.301442,75.154041,75.7743
144620,31.274681,75.309987,201.5565
144621,31.609361,75.546352,73.5011
144622,31.543334,75.516675,95.8497
144623,31.223416,75.422955,106.0748
144624,31.557377,75.423451,45.4538
144625,31.231029,75.359133,110.9157
144626,31.205818,75.139518,342.5804
144628,31.325195,75.234775,133.9777
144629,31.132578,75.177455,153.1142
